Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,283.97029519081116,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_1_trace,92.84952068328857,Pass,242.36016297340393,30000052,18836926,1.5926,5301134,349374,0.2814,0.0185,6.5906%,11.6458,14889272,42.6170,496.3082,15000052,8984253,1.6696,2642836,173474,0.2942,0.0193,6.5639%,11.5649,7045071,40.6117,469.6698
int,int_2_trace,94.08823490142822,Pass,308.3843050003052,30000052,18874188,1.5895,5366311,328957,0.2843,0.0174,6.1300%,10.9652,14890109,45.2646,496.3361,15000052,8824571,1.6998,2681980,162442,0.3039,0.0184,6.0568%,10.8294,6869980,42.2919,457.9971
int,int_3_trace,96.88034057617188,Pass,408.78975009918213,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_4_trace,188.2430238723755,Pass,617.7286007404327,59999657,13829330,4.3386,7683892,248274,0.5556,0.0180,3.2311%,4.1379,5335629,21.4909,88.9277,30999657,6905948,4.4888,4061423,124484,0.5881,0.0180,3.0650%,4.0157,2633781,21.1576,84.9616
int,int_5_trace,138.47165870666504,Pass,389.94220304489136,30000052,6651431,4.5103,2565027,85651,0.3856,0.0129,3.3392%,2.8550,3097648,36.1659,103.2548,15000052,3316396,4.5230,1297750,42168,0.3913,0.0127,3.2493%,2.8112,1554099,36.8549,103.6062
int,int_6_trace,130.25432968139648,Pass,361.6372621059418,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_7_trace,128.17397212982178,Pass,358.6664650440216,40000048,14743504,2.7131,5944145,230358,0.4032,0.0156,3.8754%,5.7589,5321871,23.1026,133.0466,20000048,6326865,3.1611,3000751,112073,0.4743,0.0177,3.7348%,5.6036,2479237,22.1216,123.9616
int,int_8_trace,137.59827327728271,Pass,422.1505401134491,40000052,16330173,2.4495,5678944,287725,0.3478,0.0176,5.0665%,7.1931,6643711,23.0905,166.0926,20000052,6563378,3.0472,2813189,132305,0.4286,0.0202,4.7030%,6.6152,2959565,22.3693,147.9779
int,int_9_trace,152.5840139389038,Pass,414.6231029033661,40000050,14340761,2.7893,5800876,194221,0.4045,0.0135,3.3481%,4.8555,4532877,23.3388,113.3218,20000050,6022157,3.3211,2893544,92491,0.4805,0.0154,3.1965%,4.6245,2101083,22.7166,105.0539
int,int_10_trace,204.85591316223145,Pass,652.8456149101257,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
